Provinsi,Jumlah Kasus,Jumlah Sembuh,Jumlah Kematian,Persentase,
Jawa Timur,15484 (+517),5582 (+263),1125 (+23),21.9%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 21.8898439267134%""></div></div>"
Jakarta,13488 (+284),8645 (+221),671 (+6),19.1%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 19.0680841438589%""></div></div>"
Sulawesi Selatan,6488 (+130),2446 (+189),209 (+4),9.2%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 9.17213300158335%""></div></div>"
Jawa Tengah,5203 (+120),1717 (+30),225 (+0),7.4%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 7.35551911332278%""></div></div>"
Jawa Barat,4843 (+962),1811 (+27),186 (+4),6.8%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 6.84658448314861%""></div></div>"
Kalimantan Selatan,3926 (+108),1149 (+23),209 (+3),5.6%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 5.55021488351052%""></div></div>"
Sumatra Selatan,2475 (+56),1224 (+4),114 (+1),3.5%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 3.49892558244741%""></div></div>"
Papua,2101 (+27),1043 (+57),20 (+0),3.0%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 2.97019904998869%""></div></div>"
Sumatra Utara,2085 (+108),515 (+11),114 (+5),2.9%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 2.94757973309206%""></div></div>"
Bali,2024 (+53),1171 (+92),26 (+1),2.9%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 2.86134358742366%""></div></div>"
Banten,1559 (+11),982 (+24),80 (+0),2.2%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 2.20396969011536%""></div></div>"
Sulawesi Utara,1468 (+126),356 (+27),95 (+1),2.1%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 2.07532232526578%""></div></div>"
Nusa Tenggara Barat,1444 (+29),924 (+12),72 (+1),2.0%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 2.04139334992083%""></div></div>"
Kalimantan Tengah,1096 (+23),484 (+10),65 (+3),1.5%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 1.54942320741914%""></div></div>"
Maluku Utara,1077 (+40),131 (+3),34 (+2),1.5%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 1.52256276860439%""></div></div>"
Maluku,845 (+8),487 (+21),17 (+0),1.2%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 1.19458267360326%""></div></div>"
Sumatra Barat,785 (+5),655 (+8),32 (+1),1.1%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 1.1097602352409%""></div></div>"
Kalimantan Timur,623 (+6),468 (+8),11 (+0),0.9%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.88073965166252%""></div></div>"
Sulawesi Tenggara,500 (+6),292 (+5),9 (+1),0.7%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.706853653019679%""></div></div>"
DI Yogyakarta,357 (+8),287 (+2),9 (+1),0.5%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.504693508256051%""></div></div>"
Kalimantan Barat,347 (+3),308 (+2),4 (+0),0.5%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.490556435195657%""></div></div>"
Kepulauan Riau,321 (+3),280 (+12),16 (+0),0.5%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.453800045238634%""></div></div>"
Gorontalo,286 (+0),227 (+0),16 (+0),0.4%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.404320289527256%""></div></div>"
Papua Barat,272 (+6),186 (+0),4 (+0),0.4%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.384528387242705%""></div></div>"
Riau,238 (+2),216 (+1),11 (+0),0.3%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.336462338837367%""></div></div>"
Kalimantan Utara,214 (+8),187 (+9),2 (+0),0.3%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.302533363492423%""></div></div>"
Lampung,203 (+1),160 (+1),12 (+0),0.3%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.28698258312599%""></div></div>"
Sulawesi Tengah,193 (+0),164 (+0),6 (+0),0.3%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.272845510065596%""></div></div>"
Kepulauan Bangka Belitung,171 (+0),140 (+1),2 (+0),0.2%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.24174394933273%""></div></div>"
Bengkulu,155 (+4),98 (+0),14 (+1),0.2%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.2191246324361%""></div></div>"
Sulawesi Barat,130 (+1),90 (+0),2 (+0),0.2%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.183781949785117%""></div></div>"
Jambi,122 (+1),81 (+0),1 (+0),0.2%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.172472291336802%""></div></div>"
Nusa Tenggara Timur,121 (+0),91 (+0),1 (+0),0.2%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.171058584030762%""></div></div>"
Aceh,90 (+1),54 (+3),3 (+0),0.1%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.127233657543542%""></div></div>"
Dalam proses investigasi,2 (+0),0 (+0),0 (+0),0.0%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.00282741461207872%""></div></div>"
TOTAL,"70,736","32,651","3,417",100.0%,
