Provinsi,Jumlah Kasus,Jumlah Sembuh,Jumlah Kematian,Persentase,
Jakarta,855600 (+176),838991 (+331),13484 (+9),20.5%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 20.4624915307623%""></div></div>"
Jawa Barat,699915 (+346),679840 (+755),14510 (+9),16.7%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 16.7391359978418%""></div></div>"
Jawa Tengah,478520 (+293),439452 (+1897),29630 (+42),11.4%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 11.4442630286353%""></div></div>"
Jawa Timur,392232 (+335),358763 (+652),29180 (+30),9.4%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 9.38060305995084%""></div></div>"
Kalimantan Timur,155165 (+103),147279 (+272),5324 (+8),3.7%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 3.71091923605742%""></div></div>"
DI Yogyakarta,153560 (+111),144377 (+611),5108 (+9),3.7%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 3.67253412747061%""></div></div>"
Banten,130672 (+41),126794 (+404),2652 (+6),3.1%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 3.12514573785386%""></div></div>"
Riau,126595 (+94),120718 (+132),3982 (+6),3.0%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 3.02764038725672%""></div></div>"
Bali,110912 (+117),104763 (+523),3804 (+14),2.7%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 2.65256645705926%""></div></div>"
Sulawesi Selatan,107514 (+125),102763 (+194),2166 (+14),2.6%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 2.57130004025055%""></div></div>"
Sumatra Utara,102650 (+215),95837 (+715),2711 (+25),2.5%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 2.45497283267034%""></div></div>"
Sumatra Barat,88572 (+88),84319 (+296),2078 (+3),2.1%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 2.11828401105969%""></div></div>"
Kalimantan Selatan,68654 (+113),64589 (+176),2304 (+2),1.6%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 1.64192600929518%""></div></div>"
Nusa Tenggara Timur,61773 (+71),59080 (+176),1264 (+3),1.5%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 1.47736031945977%""></div></div>"
Sumatra Selatan,59179 (+44),55362 (+81),3003 (+3),1.4%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 1.41532233087772%""></div></div>"
Kepulauan Riau,53260 (+46),50655 (+99),1711 (+4),1.3%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 1.27376379023889%""></div></div>"
Kepulauan Bangka Belitung,50191 (+99),46514 (+398),1346 (+6),1.2%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 1.20036572279159%""></div></div>"
Lampung,48406 (+71),42527 (+131),3687 (+6),1.2%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 1.15767574221374%""></div></div>"
Sulawesi Tengah,45190 (+69),41854 (+248),1510 (+2),1.1%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 1.08076202930709%""></div></div>"
Kalimantan Tengah,44593 (+36),40362 (+145),1331 (+2),1.1%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 1.06648420387013%""></div></div>"
Kalimantan Barat,38900 (+90),37435 (+122),1021 (+1),0.9%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.93033066917561%""></div></div>"
Aceh,36458 (+139),29412 (+241),1750 (+19),0.9%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.871927905830447%""></div></div>"
Kalimantan Utara,34147 (+101),30535 (+0),749 (+0),0.8%,"<div class=""progress progress-xs""><div class=""progress-bar progress-bar bg-info"" style=""width: 0.816658132656544%""></div></div>"
